0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:20 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:20 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:20 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:20 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:20 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:23 +0700] "GET /DemoSpringMVC/AddCart/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:23 +0700] "GET /DemoSpringMVC/?check=false HTTP/1.1" 200 28301
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:23 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:23 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:23 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:23 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:23 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:25 +0700] "GET /DemoSpringMVC/gio-hang HTTP/1.1" 200 12095
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:25 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:25 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:25 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:25 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:25 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:34 +0700] "GET /DemoSpringMVC/EditCart/1/4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:34 +0700] "GET /DemoSpringMVC/gio-hang HTTP/1.1" 200 12095
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:34 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:34 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:34 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:34 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:34 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:47 +0700] "GET /DemoSpringMVC/EditCart/19/2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:47 +0700] "GET /DemoSpringMVC/gio-hang HTTP/1.1" 200 12095
